App Number,Company Name,"City, State, Zip",Address,Contact Person,Phone Number,Email
CA-thirdround_2023,"10801 National Blvd., Ste. 604","Los Angeles, CA 90064",Jeff Rosenblum,310-441-1233,,
CA-thirdround_2023,"543 Harbor Blvd, Suite 201","Destin, FL 32541",Ken Bryant,850-650-0125,,
CA-thirdround_2023,"10801 National Blvd., Ste. 604","Los Angeles, CA 90064",Jeff Rosenblum,310-441-1233,,
CA-thirdround_2023,"1300 114th Ave SE, STE 240","Bellevue, WA 98004",Thomas Stagg,425-453-5783,,
CA-thirdround_2023,"1300 114th Ave SE, STE 240","Bellevue, WA 98004",Thomas Stagg,425-453-5783,,
CA-thirdround_2023,"301 Howard Street, Suite 850","San Francisco, CA 94105",Scott Smith,4159055487,,
CA-thirdround_2023,"1000 SW Broadway, Suite 1680","Portland, OR  97205",Warren Sebra,503-821-2710,,
CA-thirdround_2023,3811 Tilden Drivev,"El Dorado Hills, CA 95762",Tom Tomaszewski,916-804-5367,,
CA-thirdround_2023,1301 6th Avenue,"New York, NY 10019",Mike Bisson,646-834-4154,,
CA-thirdround_2023,"1160 Battery Street, East Bldg 225","San Francisco, CA 94111",Thomas Stagg,425-519-1234,,
CA-thirdround_2023,,,,,,
CA-thirdround_2023,501 Congressional Blvd.,"Carmel, IN, 46032",Jacob Buehler,317-819-6103,,
CA-thirdround_2023,P.O. Box 492,"Aubrey, TX 76227",Bernie Rea,2099339113,,
CA-thirdround_2023,1301 6th Avenue,"New York, NY, 10019",Mike Bisson,646-834-4154,,
CA-thirdround_2023,"501 Congressional Blvd., Suite 300","Carmel, IN 46032",Amy Unterfranz,317-848-5700,,
CA-thirdround_2023,"501 Congressional Blvd., Suite 300","Carmel, IN 46032",Amy Unterfranz,317-848-5700,,
CA-thirdround_2023,1301 6th Avenue,"New York, NY, 10019",Mike Bisson,646-834-4154,,
CA-thirdround_2023,"501 Congressional Blvd., Suite 300","Carmel, IN 46032",Amy Unterfranz,317-848-5700,,
CA-thirdround_2023,501 Congressional Boulevard,"Carmel, Indiana 46032",Greg A. Wasiak,3178196145,3178156140,
CA-thirdround_2023,501 Congressional Boulevard,"Carmel, Indiana 46032",Greg A. Wasiak,3178196145,3178156140,
CA-thirdround_2023,501 Congressional Boulevard,"Carmel, Indiana 46032",Greg A. Wasiak,3178196145,3178156140,
CA-thirdround_2023,,,,,,
CA-thirdround_2023,501 Congressional Boulevard,"Carmel, Indiana 46032",Greg A. Wasiak,3178196145,3178156140,
CA-thirdround_2023,11340 Lakefield Drive Suite 150,"Johns Creek, GA 30097",Michael Wilson,4703878974,,
CA-thirdround_2023,2033 N. Main St. Suite 400,"Walnut Creek, CA 94596",Sun-Ae Woo,925-949-4223,N/A,
CA-thirdround_2023,501 Congressional Blvd,"Carmel, IN 46032",Thomas Wilson ,(317) 819-6654					,,
CA-thirdround_2023,501 Congressional Blvd,"Carmel, IN 46032",Thomas Wilson ,(317) 819-6654					,,
CA-thirdround_2023,501 Congressional Blvd,"Carmel, IN 46032",Thomas Wilson ,(317) 819-6654		,,
CA-thirdround_2023,3011 Towngate Rd. ,"Westlake Village, CA, 91361",Dave Bierhost,8054131702,,
