Project ID,Requirements,Overhead,Profit,Insurance,Requirements,Percentage
CA-24-487," $1,526,216 "," $763,108 "," $763,108 "," $497,110 "," $24,491,169 ",14%
CA-24-488," $840,297 "," $420,148 "," $420,148 "," $273,696 "," $13,067,042 ",15%
CA-24-489," $2,500,528 "," $457,536 "," $1,372,606 "," $696,509 "," $53,879,276 ",9%
CA-24-490," $3,226,446 "," $237,918 "," $713,754 "," $1,591,195 "," $41,987,009 ",14%
CA-24-491," $3,416,831 "," $2,128,729 ", $-   ," $1,423,139 "," $62,864,855 ",11%
CA-24-492," $1,813,510 "," $1,186,860 "," $1,186,860 "," $113,710 "," $30,592,875 ",14%
CA-24-493," $2,991,081 "," $1,994,000 "," $1,994,000 ", $-   ," $56,830,425 ",12%
CA-24-494," $2,347,854 "," $3,553,927 ", $-   ," $959,560 "," $49,187,570 ",14%
CA-24-495," $425,040 "," $318,780 "," $318,780 "," $233,772 "," $12,192,372 ",11%
CA-24-496," $1,080,000 "," $925,838 "," $925,839 ", $-   ," $26,148,076 ",11%
CA-24-497," $1,584,727 "," $528,242 "," $1,584,727 ", $-   ," $30,977,640 ",12%
CA-24-498," $2,082,379 "," $725,514 "," $725,514 "," $727,209 "," $44,294,598 ",10%
CA-24-499," $7,820,904 "," $2,606,968 "," $7,820,904 ", $-   ," $140,897,176 ",13%
CA-24-500," $1,557,421 "," $372,783 "," $372,783 "," $482,300 "," $29,822,676 ",9%
CA-24-501," $1,086,975 "," $852,986 "," $852,986 "," $570,129 "," $34,382,489 ",10%
CA-24-502," $2,401,003 "," $500,000 "," $2,000,836 "," $350,000 "," $42,253,396 ",12%
CA-24-503," $4,218,061 "," $2,812,000 "," $2,812,000 ", $-   ," $80,143,072 ",12%
CA-24-504," $2,600,000 "," $3,478,300 ", $-   ," $1,009,700 "," $81,164,000 ",9%
CA-24-505," $2,699,530 "," $2,105,634 "," $4,613,145 "," $1,351,115 "," $79,172,678 ",14%
CA-24-506," $567,955 "," $375,037 "," $378,978 "," $142,117 "," $11,134,650 ",13%
CA-24-507," $4,000,000 "," $3,900,000 "," $3,900,000 "," $3,358,203 "," $104,771,987 ",14%
CA-24-508," $521,328 "," $1,563,985 "," $1,563,985 "," $400,000 "," $30,115,708 ",13%
CA-24-509," $2,200,000 "," $3,064,117 "," $3,064,117 "," $695,236 "," $61,540,230 ",15%
CA-24-510," $1,856,400 "," $586,056 "," $586,056 "," $562,545 "," $25,118,068 ",14%
CA-24-511," $431,958 "," $336,927 "," $742,968 ", $-   ," $12,310,804 ",12%
CA-24-512," $2,633,859 "," $1,993,426 "," $1,993,426 ", $-   ," $54,340,188 ",12%
CA-24-513," $1,291,500 "," $430,500 "," $1,291,500 "," $215,250 "," $25,509,403 ",13%
CA-24-514," $2,693,726 "," $951,783 "," $2,855,349 "," $1,130,700 "," $52,026,986 ",15%
CA-24-515," $1,998,015 "," $1,665,012 "," $4,329,034 "," $778,000 "," $77,297,425 ",11%
CA-24-516," $3,536,500 "," $1,607,500 "," $2,572,000 "," $778,000 "," $74,669,320 ",11%
CA-24-517," $4,005,000 "," $1,945,054 ", $-   ," $1,350,000 "," $49,566,562 ",15%
CA-24-518," $685,079 "," $228,360 "," $685,079 ", $-   ," $13,459,000 ",12%
CA-24-519," $1,253,333 "," $822,500 "," $822,500 "," $313,333 "," $22,710,000 ",14%
CA-24-520," $2,794,470 "," $987,380 "," $2,962,139 "," $1,599,555 "," $54,918,052 ",15%
CA-24-521," $7,001,901 "," $2,474,005 "," $7,422,015 "," $3,933,668 "," $137,529,939 ",15%
CA-24-522, $-   ," $1,556,250 "," $821,662 "," $679,871 "," $21,521,453 ",14%
CA-24-523," $1,245,154 "," $1,285,049 "," $1,285,049 "," $1,500,000 "," $59,006,360 ",9%
CA-24-524," $1,105,276 "," $414,479 "," $414,479 "," $207,239 "," $16,095,586 ",13%
CA-24-525," $3,491,997 "," $784,674 "," $784,674 "," $858,624 "," $55,795,839 ",11%
CA-24-526," $1,320,000 "," $690,929 "," $690,929 "," $304,009 "," $31,161,910 ",10%
CA-24-527," $2,000,000 "," $800,000 "," $800,000 ", $-   ," $40,505,500 ",9%
CA-24-528," $283,699 "," $94,566 "," $283,699 "," $47,283 "," $5,740,820 ",12%
CA-24-529," $1,524,500 "," $807,985 "," $1,346,642 "," $290,875 "," $29,345,000 ",14%
CA-24-530," $520,000 "," $520,000 "," $520,000 "," $185,320 "," $18,532,000 ",9%
CA-24-531," $442,134 "," $589,512 "," $589,512 "," $180,000 "," $38,110,756 ",5%
CA-24-532," $1,560,000 "," $1,243,750 "," $1,243,750 "," $733,563 "," $45,752,500 ",10%
CA-24-533," $2,434,504 "," $860,191 "," $2,580,574 "," $1,393,510 "," $47,843,848 ",15%
CA-24-534," $1,624,421 "," $885,253 "," $885,253 "," $495,378 "," $53,810,391 ",7%
CA-24-535," $3,593,786 "," $3,640,744 ", $-   ," $2,525,681 "," $120,145,870 ",8%
CA-24-536," $2,126,351 "," $1,144,954 ", $-   , $-   ," $26,196,970 ",12%
CA-24-537," $1,700,760 "," $569,784 "," $569,784 "," $299,251 "," $30,115,006 ",10%
CA-24-538," $1,969,369 "," $984,685 "," $984,685 "," $441,775 "," $32,362,649 ",14%
CA-24-539," $2,821,917 "," $2,760,448 ", $-   ," $1,216,576 "," $80,349,380 ",8%
CA-24-540," $1,236,161 "," $796,640 "," $796,639 "," $501,882 "," $31,991,552 ",10%
CA-24-541," $2,567,323 ", $-   ," $1,283,661 "," $539,138 "," $37,291,118 ",12%
CA-24-542," $1,635,174 "," $2,019,780 "," $2,019,780 "," $702,532 "," $66,661,935 ",10%
CA-24-543," $3,967,794 "," $1,017,383 "," $2,216,706 "," $580,710 "," $58,901,744 ",13%
CA-24-544," $1,052,784 "," $371,984 "," $1,115,951 "," $450,000 "," $20,305,119 ",15%
CA-24-545," $1,308,176 "," $462,222 "," $1,386,667 ", $-   ," $24,555,002 ",13%
CA-24-546, $-   ," $1,652,830 "," $2,814,734 "," $1,090,240 "," $80,932,370 ",7%
CA-24-547," $3,176,192 ", $-   ," $2,241,161 "," $933,664 "," $55,661,467 ",11%
CA-24-548," $2,680,877 "," $777,551 "," $2,680,877 "," $1,607,605 "," $52,428,201 ",15%
CA-24-549," $290,040 "," $96,680 "," $290,040 ", $-   ," $5,607,440 ",12%
CA-24-550," $1,343,360 "," $1,209,024 "," $1,209,024 "," $1,221,754 "," $31,617,362 ",16%
CA-24-551," $1,804,164 "," $601,388 "," $1,804,164 "," $652,429 "," $34,931,548 ",14%
CA-24-552," $1,479,971 "," $1,109,978 "," $2,589,950 ", $-   ," $42,179,180 ",12%
CA-24-553," $641,074 "," $272,072 "," $272,072 "," $214,404 "," $11,691,391 ",12%
CA-24-554," $829,697 "," $414,849 "," $414,848 "," $108,499 "," $14,611,912 ",12%
CA-24-555," $4,608,822 "," $921,764 "," $921,765 "," $1,050,812 "," $53,395,461 ",14%
CA-24-556," $870,573 "," $307,602 "," $922,807 "," $176,871 "," $16,995,030 ",13%
CA-24-557," $2,194,742 ", $-   ," $2,194,742 "," $162,779 "," $35,905,713 ",13%
CA-24-558," $566,277 "," $200,084 "," $600,253 "," $115,049 "," $11,054,666 ",13%
CA-24-559," $2,292,263 "," $1,065,073 "," $1,065,073 "," $867,841 "," $42,747,592 ",12%
CA-24-560," $1,530,050 "," $1,125,156 "," $482,210 "," $238,055 "," $33,452,340 ",10%
CA-24-561," $1,853,923 "," $561,854 "," $561,854 "," $128,175 "," $27,806,247 ",11%
CA-24-562," $5,529,735 "," $2,764,868 "," $2,764,868 "," $1,837,136 "," $93,699,390 ",14%
CA-24-563," $1,555,775 "," $700,099 "," $855,676 "," $506,738 "," $25,516,598 ",14%
CA-24-564," $1,832,975 "," $1,221,439 ", $-   ," $733,453 "," $28,404,474 ",13%
CA-24-565," $803,850 "," $344,652 "," $344,652 "," $387,476 "," $18,634,557 ",10%
CA-24-566," $673,021 "," $876,966 "," $876,966 "," $328,452 "," $21,441,881 ",13%
CA-24-567," $620,401 "," $808,401 "," $808,401 "," $328,452 "," $19,847,347 ",13%
CA-24-568," $834,300 "," $589,572 "," $589,572 "," $318,369 "," $16,725,590 ",14%
,,,,,,12%
,,,,,,13%
