App Number,Tax Professional,Address,"City, State, Zip",Contact,Phone,Email,General Contractor,Address,"City, State, Zip",Contact,Phone,Email,Energy_Consultant,Address,"City, State, Zip",Contact,Phone,Email,Investor,Address,"City, State, Zip",Contact,Phone,Email,Analyst,Address,"City, State, Zip",Contact,Phone,Email,Appraiser,Address,"City, State, Zip",Contact,Phone,Email,Consultant,Address,"City, State, Zip",Contact,Phone,Email
CA-24-418,"Grigg, Bratton & Brash, P.C.","4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,marshall@gbbaccounting.com,"Pacific West Builders, Inc.","430 E. State Street, Suite 100","Eagle, ID 83616",Caleb Roope,208.461.0022,calebr@tpchousing.com,"E3 CA, Inc.","2701 Cottage Way, Suite 3","Sacramento, CA 95825",Mark Silva,916.382.7862,msilva@e3cainc.com,Boston Financial,"101 Arch Street, 13th Floor","Boston, MA 02110",Laura Surdel,617.439.3911,laura.surdel@bfim.com,Kinetic Valuation Group,"3901 S 147th Street, Suite 144","Omaha, NE 68144",Jay Wortmann,402.202.0771,jay@kvgteam.com,Kinetic Valuation Group,"3901 S 147th Street, Suite 144","Omaha, NE 68144",Jay Wortmann,402.202.0771,jay@kvgteam.com,Not Applicable,,,,,
CA-24-419,"Grigg, Bratton & Brash, P.C.","4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,marshall@gbbaccounting.com,"Pacific West Builders, Inc.","430 E. State Street, Suite 100","Eagle, ID 83616",Caleb Roope,208.461.0022,calebr@tpchousing.com,"E3 CA, Inc.","2701 Cottage Way, Suite 3","Sacramento, CA 95825",Mark Silva,916.382.7862,msilva@e3cainc.com,Boston Financial,"101 Arch Street, 13th Floor","Boston, MA 02110",Laura Surdel,617.439.3911,laura.surdel@bfim.com,Kinetic Valuation Group,"3901 S 147th Street, Suite 144","Omaha, NE 68144",Jay Wortmann,402.202.0771,jay@kvgteam.com,Not Applicable,,,,,,Not Applicable,,,,,
CA-24-420,"Grigg, Bratton & Brash, P.C.","4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,marshall@gbbaccounting.com,"Pacific West Builders, Inc.","430 E. State Street, Suite 100","Eagle, ID 83616",Caleb Roope,208.461.0022,calebr@tpchousing.com,"E3 CA, Inc.","2701 Cottage Way, Suite 3","Sacramento, CA 95825",Mark Silva,916.382.7862,msilva@e3cainc.com,Boston Financial,"101 Arch Street, 13th Floor","Boston, MA 02110",Laura Surdel,617.439.3911,laura.surdel@bfim.com,Kinetic Valuation Group,"3901 S 147th Street, Suite 144","Omaha, NE 68144",Jay Wortmann,402.202.0771,jay@kvgteam.com,Not Applicable,,,,,,Not Applicable,,,,,
CA-24-421,"Grigg, Bratton & Brash, P.C.","4487 N. Dresden Place, Ste. 101","Boise, ID 83714",Marshall Bratton,208.375.6490,marshall@gbbaccounting.com,"Pacific West Builders, Inc.","430 E. State Street, Suite 100","Eagle, ID 83616",Caleb Roope,208.461.0022,calebr@tpchousing.com,"E3 CA, Inc.","2701 Cottage Way, Suite 3","Sacramento, CA 95825",Mark Silva,916.382.7862,msilva@e3cainc.com,Boston Financial,"101 Arch Street, 13th Floor","Boston, MA 02110",Laura Surdel,617.439.3911,laura.surdel@bfim.com,Kinetic Valuation Group,"3901 S 147th Street, Suite 144","Omaha, NE 68144",Jay Wortmann,402.202.0771,jay@kvgteam.com,Not Applicable,,,,,,Not Applicable,,,,,
CA-24-422,Novogradac,"1160 Battery Street., East Bldg, Suite 225","San Francisco, CA 94111",Melissa Chung,415-356-7906,melissa.chung@novoco.com ,Green Valley Corporation dba Swenson,"777 N. First Street, 5th Floor","San Jose, CA 95115",Mark Pilarczyk,408-335-5997,mark@swenson.com,"Krantz Consulting, LLC",2625 Alcatraz Avenue #183,"Berkeley, CA 94705",Nathan Krantz,949-413-3426,nathan@krantzconsulting.com,CREA,"12396 World Trade Dr, Suite 307","San Diego, CA 92128",Richard Shea,858-386-5199,rshea@creallc.com,Kinetic Valuation Group,"3901 S. 147th St, Suite 144","Omaha, NE 68144",Jay Wortmann,402-202-0771,jay@kvgteam.com,Kinetic Valuation Group,"3901 S. 147th St, Suite 144","Omaha, NE 68144",Jay Wortmann,402-202-0771,jay@kvgteam.com,,,,,,
CA-24-423,Novogradac,"1160 Battery Street., East Bldg, Suite 225","San Francisco, CA 94111",Melissa Chung,4153567906,melissa.chung@novoco.com,Green Valley Corporation dba Swenson,"777 N. First Street, 5th Floor","San Jose, CA 95115",Mark Pilarczyk,4083355997,mark@swenson.com,"Krantz Consulting, LLC",2625 Alcatraz Avenue #183,"Berkeley, CA 94705",Nathan Krantz,9494133426,nathan@krantzconsulting.com,CREA,"12396 World Trade Dr, Suite 307","San Diego, CA 92128",Richard Shea,8583865199,rshea@creallc.com,Kinetic Valuation Group,"3901 S. 147th Street, Suite 144","Omaha, NE 68144",Jay Wortmann,402-202-0771,jay@kygteam.com,Kinetic Valuation Group,"3901 S. 147th St, Suite 144","Omaha, NE 68144",Jay Wortmann,4022020771,jay@kygteam.com,,,,,,
CA-24-424,"Dauby O'Connor & Zaleski, LLC",501 Congressional Blvd,"Carmel, IN 46032",Kate Gwyn,317-819-6242,kgwyn@dozllc.com,TBD,,,,,,Partner Energy ,2154 Torrance Blvd,"Torrance, CA, 90501",Kyle Brumfitt,310-622-8854,KBrumfitt@ptrenergy.com,R4 Capital ,895 Dove St. Suite 475,"Newport Beach, CA 92660",Cory Bannister,949-438-1056,cbannister@r4cap.com,Novogradac,"6700  Antioch Road, Suite 450","Merriam, KS 66204",Sara Nachbar ,913-312-4616,sara.nachbar@novoco.com,Novogradac,6700 Antioch Road ,"Merriam, KS 66204",Sara Nachbar,913-312-4616,sara.nachbar@novoco.com,,,,,,
CA-24-425,,,,,,,,,,,,,Green Dinosaur ,"8695 Washington Blvd., Ste. 205","Culver City, Ca 90232",Shane Hansen ,213-455-3311,shansen@greendinosaur.org,,,,,,,Laurin Associates,"1501 Sports Drive, Ste. A ","Sacramento, Ca 95834",Stefanie Williams ,916-372-6100,swilliams@laurinassociates.com,Bluewater Appraisal Services ,7216 Manzanita St. ,"Carlsbad, Ca 92011",Shawn Horn,760-583-0832,shawn@bluewaterappraisals.com,,,,,,
CA-24-426,Novogradac & Company LLP,"211 E. Ocean Blvd., 6th Floor","Long Beach, CA 90802",Justin Chubb Lurya,561-256-2337,justin.chubblurya@novoco.com,TBD,,,,,,n/a,,,,,,TBD,,,,,,Novogradac & Company LLP,"6700 Antioch Rd., Suite 450","Merriam, KS 66204",Rachel Denton,913-312-4612,rachel.denton@novoco.com,n/a,,,,,,n/a,,,,,
CA-24-427,Leaf and Cole,"2810 Camino Del Rio South, #200","San Diego, CA  92108",Michael J. Zizzi,(619) 294-7200,mjzizzi@leaf-cole.com,Sun Country Builders,"3156 Lionshead Ave., Ste. 2","Carlsbad, CA  92010",John Ahlswede,(760) 630-8042,jahlswede@suncountrybuilders.net,So Cal HERS Raters,"555 Saturn Blvd., # 265","San Diego, CA  92154",Kevin Rasmussen,(619) 251-7982,KvnRas@gmail.com,Redstone Equity Partners,"1902 Wright Place, 2nd Floor","Carlsbad, CA  92008",Matt Grosz,858-752-2066,matt.grosz@rsequity.com,Morey Valuation Group LLC,"855 S. Main Ave., Ste. K.",Fallbrook CA 92028,Scott Morey,760-645-3136,scott@moreyvaluation.com,Morey Valuation Group LLC,"855 S. Main Ave., Ste. K.",Fallbrook CA 92028,Scott Morey,760-645-3136,scott@moreyvaluation.com,,,,,,
CA-24-428,Novogradac & Company LLP,"211 E. Ocean Blvd., 6th Floor","Long Beach, CA 90802",Justin Chubb Lurya,561-256-2337,justin.chubblurya@novoco.com,TBD,,,,,,n/a,,,,,,TBD,,,,,,Novogradac & Company LLP,"6700 Antioch Rd., Suite 450","Merriam, KS 66204",Rachel Denton,913-312-4612,rachel.denton@novoco.com,n/a,,,,,,n/a,,,,,
CA-24-429,Gubb & Barshay,"235 Montgomery Street, Suite 1110","San Francisco, CA 94104",Nicole Kline,(415) 781-6600,nkline@gubbandbarshay.com,James E. Roberts-Obayashi Corp.,20 Oak Ct. ,"Danville, CA 94526",Scott Smith,(925) 820-0600,scott@jerocorp.com,,,,,,,,,,,,,Raney Planning & Management,"1501 Sports Drive, Suite A","Sacramento, CA 95834",Stefanie Williams,(916) 372-6100,swilliams@laurinassociates.com,Valbridge Property Advisors,"3160 Crow Canyon Place, Suite 245","San Ramon, CA 94583",Guido Villanueva,(925) 327-1660,gvillanueva@valbridge.com,,,,,,
CA-24-430,"Novogradac & Company, LLP",1160 Battery Street East BLDG  Suite 225,"San Francisco, CA 94111",Jeffrey T. Nishita ,415-356-8010,jeff.nishita@novoco.com,Brown Construction,1465 Enterprise Boulevard,"West Sacramento, CA",Collin Nichols,916-373-9300,cnichols@brown-construction.com,VCA Green,"1845 W. Orangewood Ave, Suite 220","Orange, CA 92868",Burke Boydell,714-363-4700,Bboydell@vca-green.com,Raymond James,"5420 La Jolla Blvd, #B104","La Jolla, CA 92037",Kevin Kilbane,216-509-1342,kevin.kilbane@raymondjames.com,Kinetic Valuation Group,PO Box 68,"Corona Del Mar, CA 92625",Jay Wortmann,818-914-1892,jay@kvgteam.com,,,,,,,,,,,,
CA-24-431,Novogradac and Company LLP,"2033 N. Main Street, suite 400","Walnut Creek, CA 94596",Sun-Ae Woo,(925) 949-4223,sun-ae.woo@novoco.com,TBD,,,,,,Redwood Energy,1887 Q Street,"Arcata, CA 95521",Sean Armstrong,(707) 826-1450,sean@redwoodenergy.com,WNC & Associates,17782 Sky Park Circle,"Irvine, CA 92614",Jessica Captanis,(949) 439-2616,jcaptanis@wncinc.com,Laurin Associates,"1501 Soirts Drive, Suite A","Sacramento, CA 95834",Stefanie Williams,916-372-6100,swilliams@laurinassociates.com,Novogradac and Company LLP,11044 Research Boulevard ,"Austin, TX 78759",Lindsey Hannon,(562) 349-3212,lindsey.hannon@novoco.com,N/A,,,,,
CA-24-432,Novogradac & Company LLP,PO Box 7833,"San Francisco, CA 94120-7833",Melissa Chung,415-356-7906,melissa.chung@novoco.com,Swenson,"777 N. First Street, 5th Floor","San Jose, CA 95112",John Cantlen,408-287-0246,jcantlen@swenson.com,,,,,,,CREA,12396 World Trade Dr. Suite 307,"San Diego, CA 92128",Richard Shea,858-386-5199,rshea@creallc.com,Kinetic Valuation Group,"3901 S. 147th St, Suite 144","Omaha, NE 92625",Jay Wortmann,402-202-0771,Jay@kvgteam.com,Kinetic Valuation Group,"3901 S. 147th St., Suite 144","Omaha, NE 92625",Jay Wortmann,402-202-0771,Jay@kvgteam.com,,,,,,
CA-24-433,Not Applicable,,,,,,"USA Construction Management, Inc.","3200 Douglas Blvd., Suite 200","Roseville, CA  95661",Antonio Piscitello,9167243856,tpiscitello@usapropfund.com,E3 California Inc,"2701 Cottage Way, Suite 3",Sacramento CA. 95825,Mark Silva,9163827862,msilva@e3cainc.com,WNC,17782 Sky Park Circle,"Irvine, CA  92614-6404",Jessica Captanis,9494392616,jcaptanis@wncinc.com,Kinetic Valuation Group,"11060 Oak Street, Suite 6","Omaha, NE  68144",jay@kvgteam.com,4022020771,jay@kvgteam.com,Not Applicable,,,,,,Not Applicable,,,,,
CA-24-434,Novogradac and Company LLP,2033 N. Main St. Suite 400,"Walnut Creek, CA 94596",Sun-Ae Woo,925-949-4223,sun-ae.woo@novoco.com,TBD,,,,,,TBD,,,,,,"WNC, Inc.",17782 Sky Park Cir.,Irvine,Jessica Captanis,(714) 662-5565,jcaptanis@wncinc.com,Kinetic Valuation Group,3901 S 147th Street,"Omaha, NE 68144",Jay Wortmann,402-202-0771,jay@kvgteam.com,NA,,,,,,NA,,,,,
CA-24-435,"Bocarsly Emden Cowan Esmail & Arndt, LLP","633 West Fifth St., 64th Floor",Los Angeles CA 90071,Eugene Cowan,213-239-8015,ecowan@bocarsly.com,"Deacon Construction, Inc.",7745 Greenback Ln.,"Citrus Heights, CA 95610",Drew Sense,916-969-0900,drew.sense@deacon.com,Partner Energy,680 Knox St. Suite 150,Los Angeles CA 90502,Kyle Brumfitt,310-622-8854,kbrumfitt@ptenergy.com,Red Stone Equity Partners,"7130 Avenida Encinas, Suite 201","Carlsbad, CA 92011",Matt Grosz,858-752-2066,Matt.Grosz@RedstoneEquity.com,The Concord Group,"251 Kearny St., 6th Floor",San Francisco CA 94108,Tim Cornwell,415-397-5490,tmc@theconcordgroup.com,,,,,,,,,,,,
CA-24-436,Novogradac & Company LLP,1300 114th Avenue SE,"Bellevue, WA 98004",Thomas Stagg,425-453-5783,thomas.stagg@novoco.com,National Community Renaissance of California,"9692 Haven Avenue,Suite 100","Rancho Cucamonga, CA 91730",Chris Killian,909-483-2444,ckillian@nationalcore.org,,,,,,,Bank of America,"333 S. Hope Street, 20th floor","Los Angeles, CA 90071",Maria Joyce Maynard,213-621-7590,maria.joyce@bofa.com,"Kinetic Valuation Group, Inc.										",PO Box 68										,"Corona Del Mar, CA 92625										",Jay Wortmann										,818-914-1892,jay@kvgteam.com,Epic Land Solutions,16496 Bernardo Center Drive,"San Diego, CA, 92128",Kent Carpenter,619-573-6048,kcarpenter@epicland.com,,,,,,
CA-24-437,DOZ LLC,501 Congressional Blvd,"Carmel, IN 46032",Nancy Morton,317-819-6141,karndt@bocarsly.com,Westport Inc.,125 W. Maple Ave,"Monrovia, CA 91016",Robert Dauth,626-447-2448,rdauth@westport-inc.com,ZC Sustainability,859 25th St,"Santa Monica, CA 90403",Hans Marsman,619-573-6374,hans@zc-sustainability.com,CREA,"800 Third Ave, Suite 3700","New York, NY 10022",Neala Martin,212-405-2652,nmartin@creallc.com,Novogradac,"600 Washington Ave, Suite 1600","St. Louis, MO 63101",Britt Johansson,314-339-1070,britt.johansson@novoco.com,Cushman & Wakefield,"900 Wilshire Blvd, Suite 2400","Los Angeles, CA 90017",Jan Kelly,213-236-4932,jan.kelly@cushwake.com,,,,,,
CA-24-438,Goldfarb & Lipman LLP,1300 Clay Street 11th Floor,"Oakland, CA 94612",Mararet Jung,850-307-2323,mjung@goldfarblipman.com,To be determined,,,,,,N/A,,,,,,To be determined,,,,,,"Kinetic Valuation Group, Inc.",PO Box 68,"Corona del Mar, CA 92625",Jay Wortmann,402-202-0771,jay@kvgteam.com,"Kinetic Valuation Group, Inc.",PO Box 68,"Corona Del Mar, CA 92625",Jay Wortmann,402-202-0771,jay@kvgteam.com,"Partner Engineering and Science, Inc.","805 N. Milwaukee Ave., Suite 401C","Chicago, IL 60642",Joseph Lephew,847-710-2443,wstockdale@partneresi.com
CA-24-439,Odu & Associates,31805 Temecula Parkway #720,"Temecula, CA 92592","Nkechi Odu, Esq.",9512156212,nkechi@odulaw.com,"Emmerson Construction, Inc.",6339 Paseo del Lago,"Carlsbad, CA 92011",Robert Campbell,7604566020,rcampbell@emmersonconstruction.com,g.r.e.g. Consulting Inc. ,"2647 Gateway Road, 105-345","Carlsbad, CA 92009",Carol Roberts,7605855310,carol@gregconsulting.net,The Richman Group,"707 SW Washington St., Suite 1510","Portland, OR, 97205",Terry Gentry,5034598741,gentryt@richmancapital.com,Kinetic Valuation Group,"3901 S. 147th Street, Suite 144","Omaha, NE 68144",Jay A. Wortmann,4022020771,jay@kvgteam.com,N/A,,,,,,N/A,,,,,
CA-24-440,Novogradac & Company LLP,"1300 114th Avenue SE, Suite 240","Bellevue, WA 98004",Thomas Stagg,4254535783,thomas.stagg@novoco.com,Ironcore Construction LLC,"4429 Morena Boulevard, Suite A","San Diego, CA, 92104",Elliot Jones,6193787878,ejones@ironcorecc.com,Partner Energy,"680 Knox St., Suite 150","Torrance, CA 90502",Kelsey Shaw,310-356-2199,kshaw@ptrenergy.com,Redstone  Equity Partners,"401 West A Street, Suite 1830","San Diego, CA 92101",Matt Grosz,858-752-2066	,matt.grosz@rsequity.com,Novogradac & Company LLP,6700 Antioch Rd #450,"Merriam, KS 66204",Rachel Denton,9133124612,Rachel.denton@novoco.com,Novogradac & Company LLP,6700 Antioch Rd #450,"Merriam, KS 66204",Rachel Denton ,9133124612,Rachel.denton@novoco.com,,,,,,
CA-24-441,Hobson Bernardino + Davis LLP,"6060 Center Drive, Floor 10","Los Angeles, CA 90045",Jason Hobson,213-235-9191,jhobson@hbdlegal.com,Ironcore Construction LLC,"4429 Morena Boulevard, Suite A", San Diego  CA 92127,Elliot V Jones,(619) 378-7878,Ejones@ironcorecc.com ,Partner Energy,980 Knox St. Suite 150,"Los Angeles, Ca 90502",Kelsey Shaw,310-356-2199,kshaw@ptrenergy.com,CREA LLC,"800 Third Avenue, Suite 3700","New York, NY 10022",Neala Martin,212-405-2652,nmartin@creallc.com,Novogradac Consulting LLP,6700 Antioch Rd #450,"Merriam, Kansas 66204",Rachel Denton,913-312-4612,rachel.denton@novoco.com,Novogradac Consulting LLP,6700 Antioch Rd #450,"Merriam, Kansas 66204",Rachel Denton,913-312-4612,rachel.denton@novoco.com,N/A,,,,,
CA-24-442,"Bowman & Company, LLP","10100 Trinity Parkway, Suite 310","Stockton, CA 85219",Nicole Schubert,209-473-1040,nschubert@cpabowman.com,Paragon Construction Company,2656 East Denim Trl,"San Tan Valley, AZ 85143",Kyle Weaver,602-695-5319,kyle.weaver@paragonconstructionco.com,Partner Energy,2154 Torrance Blvd,"Torrance, CA, 90501",J.R. Lephew,443-717-4910,Jlephew@partnersi.com,WNC & Associates,17782 Sky Park Circle,"Irvine, CA 92614",Warren Allen,714-662-5565					,wallen@wncinc.com,Kinetic Valuation Group,3901 S 147th Street,"Omaha, NE 68144",Jay Wortmann,402-202-0771,jay@kvgteam.com,Kinetic Valuation Group,3901 S 147th Street,"Omaha, NE 68144",Jay Wortmann,402-202-0771,jay@kvgteam.com,Partner Engineering,2154 Torrance Blvd,"Torrance, CA 90501",Marcel Hernandez,310-220-6280,mhernandez@partneresi.com
CA-24-443,Novogradac & Company LLP,"1300 114th Avenue SE, Suite 240","Bellevue, WA 98004",Thomas Stagg,425-453-5783,thomas.stagg@novoco.com,Ironcore Construction LLC,"4429 Morena Blvd Suite A, ",San Diego CA 92117,Elliot jones,619-378-7878,ejones@ironcorecc.com,Partner Energy,"680 Knox St., Suite 150","Torrance, CA 90502",Kelsey Shaw,310-356-2199,kshaw@ptrenergy.com,Enterprise Housing Credit Investments,"70 Corporate Center, 11000 Broken Land Parkway, Suite 700","Columbia, MD 21044",Philip Porter,410-964-0552,,Novogradac,"1300 114th Avenue SE, Suite 240","Bellevue, WA 98004",Thomas Stagg,424-453-5783,thomas.stagg@novoco.com,,,,,,,,,,,,
CA-24-444,Bocarsly Emden Cowan Esmail & Arndt LLP,"633 West Fifth Street, 64th Floor","Los Angeles, CA 90071",Nicole Deddens,213.239.8029,ndeddens@bocarsly.com,Swinerton,260 Townsend Street,"San Francisco, CA 94107",Ryan Aeshliman,(408)605-6415,raeshlima@swinerton.com,Partner Energy,2154 Torrance Blvd,"Torrance, CA 90501",Kyle Brumfitt,(310)622-8854,KBrumfitt@ptrenergy.com,TBD,,,,,,The Concord Group,180 Montgomery Suite 2350,"San Francisco, CA 94108",Tim M. Cornwell ,(415)397-5490,tmc@theconcordgroup.com,James G. Palmer Appraisals Inc.,"1285 W. Shaw, Suite 108","Fresno, CA 93711",Gregg J. Palmer,(559)226-5020,jgpinc.com,N/A,,,,,
